nom,code_postal,commune,numero,voie,lieu_dit,site_internet,longitude,latitude,personnel_aidant,largeur_entree,aide_audition,entree_balise_sonore,sanitaires_pmr,stationnement_pmr,labels,types_handicap,difficulte_chemin_ext,difficulte_entree,difficulte_chemin_accueil,score
Alhambra Cinémarseille,13016,Marseille,2,Rue du Cinema,,https://www.alhambracine.com,5.330236,43.360719,,,,,,,th,auditif|mental,,,,0.91
Ali baba,92110,Clichy,56,Boulevard du Général Leclerc,,,2.313532233183651,48.90286317680628,1,80,,,0,,,,,1,,1.09
Alimentation générale Bangla Town,92110,Clichy,9,Rue Charles et René Auffray,,,2.303934,48.90203,1,75,,,,,,,,1,1,1.36
Alimentation générale  Kouche Abdellah,92110,Clichy,55,Boulevard du Général Leclerc,,,2.313471439993009,48.90254934339723,1,79,,,,,,,,1,1,1.36
Alliance Vie Bois-Colombes,92270,Bois-Colombes,16,Rue Raspail,,https://www.alliance-vie.com/nous-contacter/,2.272954881191254,48.91524812521673,1,,,,1,1,,,,1,,2.0
Alliance Vision,42000,Saint-Étienne,42,Rue de la République,,https://www.groupealliancevision.fr/,4.394512474536897,45.43926298419166,1,130,,,1,1,,,1,,,2.18
Allianz,10120,Saint-André-les-Vergers,,Avenue Charles de Refuge,,,4.053925573825837,48.28293587294768,,90,,,1,1,,,1,,,1.45
Allianz Anne baillet,10000,TROYES,15,Boulevard DU QUATORZE JUILLET,,,4.078342348798287,48.29392835230629,,90,,,,1,,,1,,,1.0
Allianz Assurance BOIS-COLOMBES CENTRE - BEHAGUE & HUGUET,92270,Bois-Colombes,17,Rue du Général Leclerc,,https://agence.allianz.fr/bois-colombes-centre-92270-H99271?utm_source=google&utm_medium=organic&utm_campaign=fiches_GMB,2.2716942429542546,48.91375687581276,1,88,,,0,,,,,1,,1.09
Allure Coiffure,25000,Besançon,53,Rue de Vesoul,,,6.014486253261567,47.25369272608573,1,90,,,,1,,,,,,1.18
All Water,40200,Aureilhan,314,Route des Artisans,,https://allwater.fr,-1.196736,44.21206,,,,,,,th,moteur|mental,,,,0.91
A l'Ombre du Marronier - La Longère,17490,Neuvicq-le-Château,,Rue de la Petite Garonne,,http://www.alombredumarronnier.fr,-0.169792,45.796427,,,,,,,th,auditif|mental|visuel,,,,1.0
A l'ombre du Marronnier - La Bergère,17490,Neuvicq-le-Château,,Rue de la Petite Garonne,,http://www.alombredumarronnier.fr,-0.169792,45.796427,,,,,,,th,auditif|mental,,,,0.91
A L Ondee au Parapluie D Aurillac,15000,Aurillac,27,Rue Victor Hugo,,,2.445898,44.92862,1,90,,,,1,,,,,,1.18
ALSH (Centre aéré)  VAL ALSH L'Atelier (Cloarec),92400,Courbevoie,75,Avenue de l'Arche,,,2.238454,48.900633,,83,1,,1,1,,,,,,1.73
ALSH PERISCOLAIRE RESTAURATION SCOLAIRE ILE AUX ENFANTS,60570,Andeville,4,Rue Dumage,,,2.1675816178321843,49.25975294346768,1,90,,,1,1,,,,,,1.64
Alterna Competences,92110,Clichy,10,Rue Charles et René Auffray,,https://alternacompetences.fr/,2.303797,48.901838,1,80,,,0,,,,,1,,1.09
AlternatiBar - Maison des alternatives,69001,Lyon,126,Montée de la Grande Côte,,,4.831965,45.769236,1,90,,,,1,,,,,,1.18
Ambiance et Styles,82000,Montauban,485,Route du Nord,,,1.38279139995575,44.04014544486601,,100,,,,1,,,1,,,1.09
Ambiances d'Ailleurs,78500,Sartrouville,17 bis,Avenue Jean Jaures,,,2.1616882679882115,48.9413874658349,,90,,,,1,,,,,,0.73
Amboise et Vouvray de L'Orangerie de Beauregard,37110,Villedômer,,Beauregard,,https://www.orangeriedebeauregard.com,0.886467,47.541511,,,,,,,th,moteur|auditif|mental|visuel,,,,1.09
Ambulance Naels,59140,Dunkerque,7,Rue des Brasseries,,,2.368636,51.027931,,,,,,1,,,,,,0.82
Ambulances Ovilloises,78800,HOUILLES,50,Rue GABRIEL PERI,44 ET,,2.190708,48.925257,,90,,,,1,,,,1,,1.0
Amédica,59229,Téteghem-Coudekerque-Village,2,Rue Léonard de Vinci,,http://www.amedica.fr,2.424288,51.031587,,,,,,1,,,,,,0.82
